"name_point","latitude","longitude","city","region","is_pause","distance_from_cremlin","tz_from_moscow","link_point"
Коломна Парк Мира,"55.08547","38.786864",Коломна,Московская,false,104.93122431322246,0,https://5verst.ru/parkmira/
Красный Сулин,"47.897236","40.067743",Красный Сулин,Ростовская,false,890.02479521278,0,https://5verst.ru/krasnyisulin/
Иркутск остров Юность,"52.272732","104.27529",Иркутск,Иркутская,false,4216.2677554363445,5,https://5verst.ru/ostrovyunost/
Ногинск Городской парк,"55.848946","38.428845",Ногинск,Московская,false,52.126315422003294,0,https://5verst.ru/noginskgorodskoypark/
Пушкино Серебрянка,"56.010169","37.858141",Пушкино,Московская,false,32.48643824468427,0,https://5verst.ru/serebryanka/
Люберцы Наташинский,"55.676218","37.896686",Люберцы,Московская,false,19.587858664589227,0,https://5verst.ru/natashinsky/
Люберцы Томилинский,"55.60461","37.96459",Люберцы,Московская,false,27.4231398691054,0,https://5verst.ru/tomilinsky/
Кашкадан,"54.773309","56.058649",Уфа,Башкортостан,false,1174.0598888287138,2,https://5verst.ru/kashkadan/
Плотинка,"56.840869","60.600496",Екатеринбург,Свердловская,false,1421.4757964452765,2,https://5verst.ru/plotinka/
Сосновка,"60.018449","30.340115",Санкт-Петербург,Санкт-Петербург,false,641.1899679846355,0,https://5verst.ru/sosnovka/
Тобольск,"58.205767","68.280133",Тобольск,Тюменская,false,1867.8009063780946,2,https://5verst.ru/tobolsk/
Тольятти Парк Победы,"53.5104991","49.2748616",Тольятти,Самарская,false,792.0845764125223,1,https://5verst.ru/tolyattiparkpobedy/
Скитские пруды,"56.30184","38.16445",Сергиев Посад,Московская,false,70.11546312072778,0,https://5verst.ru/skitskieprudy/
Северное Тушино,"55.853639","37.453495",Москва,Москва,false,15.195206089422472,0,https://5verst.ru/severnoetushino/
Серпухов Городской бор,"54.902126","37.376264",Серпухов,Московская,false,95.84966534472024,0,https://5verst.ru/serpukhovgorodskoybor/
